2019-05-30 00:27:48.293723: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2019-05-30 00:27:48.301926: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 2599880000 Hz
2019-05-30 00:27:48.302066: I tensorflow/compiler/xla/service/service.cc:150] XLA service 0x2aaae724b7a0 executing computations on platform Host. Devices:
2019-05-30 00:27:48.302086: I tensorflow/compiler/xla/service/service.cc:158]   StreamExecutor device (0): <undefined>, <undefined>
2019-05-30 00:27:48.302301: I tensorflow/core/common_runtime/process_util.cc:71] Creating new thread pool with default inter op setting: 2. Tune using inter_op_parallelism_threads for best performance.
evaluating 900 of [900, 910)
attack: step 1/30, xent loss = 3.3767, l2 loss = 0 (max 14.95), (true 257, predicted [208])
attack: step 17/30, xent loss = 20.5366, l2 loss = 10.4526 (max 14.95), (true 257, predicted [208])
attack: step 18/30, xent loss = 18.2065, l2 loss = 11.3501 (max 14.95), (true 257, predicted [208])
attack: step 19/30, xent loss = 23.9183, l2 loss = 11.5802 (max 14.95), (true 257, predicted [208])
attack: step 20/30, xent loss = 27.5735, l2 loss = 11.8205 (max 14.95), (true 257, predicted [208])
attack: step 21/30, xent loss = 28.1914, l2 loss = 12.0731 (max 14.95), (true 257, predicted [208])
attack: step 22/30, xent loss = 29.475, l2 loss = 12.3621 (max 14.95), (true 257, predicted [208])
attack: step 23/30, xent loss = 31.5487, l2 loss = 12.5338 (max 14.95), (true 257, predicted [208])
attack: step 24/30, xent loss = 34.0399, l2 loss = 12.7224 (max 14.95), (true 257, predicted [208])
attack: step 25/30, xent loss = 32.2546, l2 loss = 13.0282 (max 14.95), (true 257, predicted [208])
attack: step 26/30, xent loss = 32.431, l2 loss = 13.3502 (max 14.95), (true 257, predicted [208])
attack: step 27/30, xent loss = 40.0442, l2 loss = 13.5282 (max 14.95), (true 257, predicted [208])
attack: step 28/30, xent loss = 34.7734, l2 loss = 13.7417 (max 14.95), (true 257, predicted [208])
attack: step 29/30, xent loss = 38.9274, l2 loss = 13.9752 (max 14.95), (true 257, predicted [208])
attack: step 30/30, xent loss = 32.5114, l2 loss = 14.378 (max 14.95), (true 257, predicted [208])
true = 257, adv = 208
evaluating 901 of [900, 910)
attack: step 1/30, xent loss = 0.00693368, l2 loss = 0 (max 14.95), (true 575, predicted [575])
attack: step 2/30, xent loss = 0.00876709, l2 loss = 0.0129711 (max 14.95), (true 575, predicted [575])
attack: step 3/30, xent loss = 0.0117237, l2 loss = 0.0287391 (max 14.95), (true 575, predicted [575])
attack: step 4/30, xent loss = 0.0175985, l2 loss = 0.0502085 (max 14.95), (true 575, predicted [575])
attack: step 5/30, xent loss = 0.030563, l2 loss = 0.0812062 (max 14.95), (true 575, predicted [575])
attack: step 6/30, xent loss = 0.0656599, l2 loss = 0.128836 (max 14.95), (true 575, predicted [575])
attack: step 7/30, xent loss = 0.248995, l2 loss = 0.222769 (max 14.95), (true 575, predicted [575])
attack: step 8/30, xent loss = 2.76877, l2 loss = 0.543049 (max 14.95), (true 575, predicted [670])
attack: step 9/30, xent loss = 8.45819, l2 loss = 2.36814 (max 14.95), (true 575, predicted [670])
attack: step 10/30, xent loss = 12.0454, l2 loss = 3.07304 (max 14.95), (true 575, predicted [670])
attack: step 11/30, xent loss = 13.8199, l2 loss = 3.50791 (max 14.95), (true 575, predicted [670])
attack: step 12/30, xent loss = 13.6397, l2 loss = 4.24899 (max 14.95), (true 575, predicted [670])
attack: step 13/30, xent loss = 18.786, l2 loss = 4.70599 (max 14.95), (true 575, predicted [670])
attack: step 14/30, xent loss = 16.9101, l2 loss = 5.47909 (max 14.95), (true 575, predicted [665])
attack: step 15/30, xent loss = 19.9669, l2 loss = 6.03615 (max 14.95), (true 575, predicted [670])
attack: step 16/30, xent loss = 15.9252, l2 loss = 6.82608 (max 14.95), (true 575, predicted [670])
attack: step 17/30, xent loss = 19.9137, l2 loss = 7.15854 (max 14.95), (true 575, predicted [670])
attack: step 18/30, xent loss = 19.5024, l2 loss = 7.94343 (max 14.95), (true 575, predicted [670])
attack: step 19/30, xent loss = 24.9731, l2 loss = 8.22415 (max 14.95), (true 575, predicted [670])
attack: step 20/30, xent loss = 23.1466, l2 loss = 8.72911 (max 14.95), (true 575, predicted [670])
attack: step 21/30, xent loss = 28.7178, l2 loss = 9.08876 (max 14.95), (true 575, predicted [670])
attack: step 22/30, xent loss = 26.5971, l2 loss = 9.51893 (max 14.95), (true 575, predicted [670])
attack: step 23/30, xent loss = 30.639, l2 loss = 10.0254 (max 14.95), (true 575, predicted [670])
attack: step 24/30, xent loss = 31.6157, l2 loss = 10.5227 (max 14.95), (true 575, predicted [670])
attack: step 25/30, xent loss = 28.2838, l2 loss = 11.067 (max 14.95), (true 575, predicted [670])
attack: step 26/30, xent loss = 28.9753, l2 loss = 11.4645 (max 14.95), (true 575, predicted [670])
attack: step 27/30, xent loss = 34.6193, l2 loss = 11.8411 (max 14.95), (true 575, predicted [670])
attack: step 28/30, xent loss = 37.7446, l2 loss = 12.168 (max 14.95), (true 575, predicted [670])
attack: step 29/30, xent loss = 35.0728, l2 loss = 12.5995 (max 14.95), (true 575, predicted [670])
attack: step 30/30, xent loss = 37.79, l2 loss = 12.8911 (max 14.95), (true 575, predicted [670])
true = 575, adv = 575
evaluating 902 of [900, 910)
attack: step 1/30, xent loss = 6.10107, l2 loss = 0 (max 14.95), (true 679, predicted [488])
attack: step 2/30, xent loss = 12.6407, l2 loss = 3.11977 (max 14.95), (true 679, predicted [488])
attack: step 3/30, xent loss = 18.3102, l2 loss = 4.14685 (max 14.95), (true 679, predicted [488])
attack: step 4/30, xent loss = 19.9744, l2 loss = 5.25774 (max 14.95), (true 679, predicted [488])
attack: step 5/30, xent loss = 13.6762, l2 loss = 6.37691 (max 14.95), (true 679, predicted [488])
attack: step 6/30, xent loss = 18.5942, l2 loss = 7.98388 (max 14.95), (true 679, predicted [488])
attack: step 7/30, xent loss = 22.5706, l2 loss = 8.52633 (max 14.95), (true 679, predicted [488])
attack: step 8/30, xent loss = 26.9985, l2 loss = 9.10914 (max 14.95), (true 679, predicted [488])
attack: step 9/30, xent loss = 33.2883, l2 loss = 9.65657 (max 14.95), (true 679, predicted [488])
attack: step 10/30, xent loss = 33.7509, l2 loss = 10.1836 (max 14.95), (true 679, predicted [488])
attack: step 11/30, xent loss = 35.5989, l2 loss = 10.7071 (max 14.95), (true 679, predicted [488])
attack: step 12/30, xent loss = 37.4094, l2 loss = 11.2443 (max 14.95), (true 679, predicted [488])
attack: step 13/30, xent loss = 33.1241, l2 loss = 11.8409 (max 14.95), (true 679, predicted [488])
attack: step 14/30, xent loss = 36.2118, l2 loss = 12.5676 (max 14.95), (true 679, predicted [488])
attack: step 15/30, xent loss = 41.9153, l2 loss = 12.9106 (max 14.95), (true 679, predicted [488])
attack: step 16/30, xent loss = 43.4539, l2 loss = 13.3829 (max 14.95), (true 679, predicted [488])
attack: step 17/30, xent loss = 42.0042, l2 loss = 13.8297 (max 14.95), (true 679, predicted [488])
attack: step 18/30, xent loss = 40.0677, l2 loss = 14.4422 (max 14.95), (true 679, predicted [488])
attack: step 19/30, xent loss = 44.0127, l2 loss = 14.981 (max 14.95), (true 679, predicted [488])
attack: step 20/30, xent loss = 46.4401, l2 loss = 15.2986 (max 14.95), (true 679, predicted [488])
attack: step 21/30, xent loss = 43.3363, l2 loss = 15.8639 (max 14.95), (true 679, predicted [488])
attack: step 22/30, xent loss = 45.2765, l2 loss = 16.3364 (max 14.95), (true 679, predicted [488])
attack: step 23/30, xent loss = 49.2566, l2 loss = 16.6353 (max 14.95), (true 679, predicted [488])
attack: step 24/30, xent loss = 54.2567, l2 loss = 16.9611 (max 14.95), (true 679, predicted [488])
attack: step 25/30, xent loss = 60.6665, l2 loss = 17.2033 (max 14.95), (true 679, predicted [488])
attack: step 26/30, xent loss = 59.2889, l2 loss = 17.511 (max 14.95), (true 679, predicted [488])
attack: step 27/30, xent loss = 47.7487, l2 loss = 17.9582 (max 14.95), (true 679, predicted [488])
attack: step 28/30, xent loss = 52.8509, l2 loss = 18.4413 (max 14.95), (true 679, predicted [488])
attack: step 29/30, xent loss = 61.6568, l2 loss = 18.6754 (max 14.95), (true 679, predicted [488])
attack: step 30/30, xent loss = 59.0005, l2 loss = 19.0721 (max 14.95), (true 679, predicted [488])
check failed
true = 679, adv = 808
evaluating 903 of [900, 910)
attack: step 1/30, xent loss = 3.7351, l2 loss = 0 (max 14.95), (true 826, predicted [531])
attack: step 2/30, xent loss = 7.47862, l2 loss = 1.5167 (max 14.95), (true 826, predicted [531])
attack: step 3/30, xent loss = 8.73579, l2 loss = 1.93342 (max 14.95), (true 826, predicted [531])
attack: step 4/30, xent loss = 9.95792, l2 loss = 2.5787 (max 14.95), (true 826, predicted [531])
attack: step 5/30, xent loss = 13.4126, l2 loss = 2.92846 (max 14.95), (true 826, predicted [531])
attack: step 6/30, xent loss = 15.8891, l2 loss = 3.33701 (max 14.95), (true 826, predicted [531])
attack: step 7/30, xent loss = 17.2116, l2 loss = 3.77893 (max 14.95), (true 826, predicted [531])
attack: step 8/30, xent loss = 15.2757, l2 loss = 4.42941 (max 14.95), (true 826, predicted [531])
attack: step 9/30, xent loss = 18.5875, l2 loss = 5.02333 (max 14.95), (true 826, predicted [531])
attack: step 10/30, xent loss = 19.7292, l2 loss = 5.6103 (max 14.95), (true 826, predicted [531])
attack: step 11/30, xent loss = 19.2575, l2 loss = 6.19181 (max 14.95), (true 826, predicted [531])
attack: step 12/30, xent loss = 21.7571, l2 loss = 6.71449 (max 14.95), (true 826, predicted [531])
attack: step 13/30, xent loss = 24.3105, l2 loss = 7.21188 (max 14.95), (true 826, predicted [531])
attack: step 14/30, xent loss = 26.0221, l2 loss = 7.75977 (max 14.95), (true 826, predicted [531])
attack: step 15/30, xent loss = 28.9619, l2 loss = 8.07636 (max 14.95), (true 826, predicted [531])
attack: step 16/30, xent loss = 27.7035, l2 loss = 8.52477 (max 14.95), (true 826, predicted [531])
attack: step 17/30, xent loss = 29.6457, l2 loss = 8.98589 (max 14.95), (true 826, predicted [531])
attack: step 18/30, xent loss = 31.4572, l2 loss = 9.36548 (max 14.95), (true 826, predicted [531])
attack: step 19/30, xent loss = 39.8472, l2 loss = 9.66342 (max 14.95), (true 826, predicted [531])
attack: step 20/30, xent loss = 36.2035, l2 loss = 9.93904 (max 14.95), (true 826, predicted [531])
attack: step 21/30, xent loss = 26.9416, l2 loss = 10.7071 (max 14.95), (true 826, predicted [531])
attack: step 22/30, xent loss = 32.3226, l2 loss = 11.1129 (max 14.95), (true 826, predicted [531])
attack: step 23/30, xent loss = 33.9851, l2 loss = 11.404 (max 14.95), (true 826, predicted [531])
attack: step 24/30, xent loss = 34.6067, l2 loss = 11.7085 (max 14.95), (true 826, predicted [531])
attack: step 25/30, xent loss = 39.5184, l2 loss = 12.0106 (max 14.95), (true 826, predicted [531])
attack: step 26/30, xent loss = 41.8652, l2 loss = 12.2913 (max 14.95), (true 826, predicted [531])
attack: step 27/30, xent loss = 42.3397, l2 loss = 12.5836 (max 14.95), (true 826, predicted [531])
attack: step 28/30, xent loss = 43.3821, l2 loss = 12.8527 (max 14.95), (true 826, predicted [531])
attack: step 29/30, xent loss = 48.1985, l2 loss = 13.1421 (max 14.95), (true 826, predicted [531])
attack: step 30/30, xent loss = 46.8356, l2 loss = 13.4662 (max 14.95), (true 826, predicted [531])
true = 826, adv = 531
evaluating 904 of [900, 910)
attack: step 1/30, xent loss = 0.178005, l2 loss = 0 (max 14.95), (true 973, predicted [973])
attack: step 2/30, xent loss = 1.01126, l2 loss = 0.222829 (max 14.95), (true 973, predicted [973])
attack: step 3/30, xent loss = 5.51147, l2 loss = 0.944596 (max 14.95), (true 973, predicted [327])
attack: step 4/30, xent loss = 9.88068, l2 loss = 2.80291 (max 14.95), (true 973, predicted [327])
attack: step 5/30, xent loss = 7.60216, l2 loss = 5.3711 (max 14.95), (true 973, predicted [327])
attack: step 6/30, xent loss = 15.1646, l2 loss = 6.62871 (max 14.95), (true 973, predicted [327])
attack: step 7/30, xent loss = 26.7984, l2 loss = 7.07308 (max 14.95), (true 973, predicted [327])
attack: step 8/30, xent loss = 20.374, l2 loss = 8.15588 (max 14.95), (true 973, predicted [327])
attack: step 9/30, xent loss = 27.7542, l2 loss = 8.9099 (max 14.95), (true 973, predicted [327])
attack: step 10/30, xent loss = 27.0024, l2 loss = 10.1632 (max 14.95), (true 973, predicted [327])
attack: step 11/30, xent loss = 23.5542, l2 loss = 12.0292 (max 14.95), (true 973, predicted [327])
attack: step 12/30, xent loss = 25.1387, l2 loss = 12.7318 (max 14.95), (true 973, predicted [327])
attack: step 13/30, xent loss = 34.7135, l2 loss = 13.8806 (max 14.95), (true 973, predicted [327])
attack: step 14/30, xent loss = 52.3857, l2 loss = 14.2861 (max 14.95), (true 973, predicted [327])
attack: step 15/30, xent loss = 44.1878, l2 loss = 15.3811 (max 14.95), (true 973, predicted [327])
attack: step 16/30, xent loss = 50.7887, l2 loss = 15.9388 (max 14.95), (true 973, predicted [327])
attack: step 17/30, xent loss = 46.0273, l2 loss = 17.0853 (max 14.95), (true 973, predicted [327])
attack: step 18/30, xent loss = 49.4137, l2 loss = 17.503 (max 14.95), (true 973, predicted [327])
attack: step 19/30, xent loss = 72.427, l2 loss = 18.0579 (max 14.95), (true 973, predicted [327])
attack: step 20/30, xent loss = 64.0978, l2 loss = 18.4556 (max 14.95), (true 973, predicted [327])
attack: step 21/30, xent loss = 70.3747, l2 loss = 18.9986 (max 14.95), (true 973, predicted [327])
attack: step 22/30, xent loss = 71.4351, l2 loss = 19.5342 (max 14.95), (true 973, predicted [327])
attack: step 23/30, xent loss = 82.4255, l2 loss = 20.0422 (max 14.95), (true 973, predicted [327])
attack: step 24/30, xent loss = 75.8067, l2 loss = 20.4551 (max 14.95), (true 973, predicted [327])
attack: step 25/30, xent loss = 79.1409, l2 loss = 20.955 (max 14.95), (true 973, predicted [327])
attack: step 26/30, xent loss = 75.9788, l2 loss = 21.4862 (max 14.95), (true 973, predicted [327])
attack: step 27/30, xent loss = 75.5672, l2 loss = 22.004 (max 14.95), (true 973, predicted [327])
attack: step 28/30, xent loss = 82.7748, l2 loss = 22.5654 (max 14.95), (true 973, predicted [327])
attack: step 29/30, xent loss = 94.0455, l2 loss = 22.9632 (max 14.95), (true 973, predicted [327])
attack: step 30/30, xent loss = 87.0665, l2 loss = 23.7351 (max 14.95), (true 973, predicted [327])
check failed
true = 973, adv = 728
evaluating 905 of [900, 910)
attack: step 1/30, xent loss = 2.54266, l2 loss = 0 (max 14.95), (true 931, predicted [941])
attack: step 2/30, xent loss = 9.92219, l2 loss = 3.69281 (max 14.95), (true 931, predicted [941])
attack: step 3/30, xent loss = 17.6242, l2 loss = 4.0573 (max 14.95), (true 931, predicted [941])
attack: step 4/30, xent loss = 21.6417, l2 loss = 5.03194 (max 14.95), (true 931, predicted [941])
attack: step 5/30, xent loss = 18.3195, l2 loss = 5.91852 (max 14.95), (true 931, predicted [941])
attack: step 6/30, xent loss = 20.1185, l2 loss = 7.93256 (max 14.95), (true 931, predicted [941])
attack: step 7/30, xent loss = 24.7466, l2 loss = 8.94061 (max 14.95), (true 931, predicted [941])
attack: step 8/30, xent loss = 26.735, l2 loss = 9.55479 (max 14.95), (true 931, predicted [941])
attack: step 9/30, xent loss = 25.6229, l2 loss = 10.5916 (max 14.95), (true 931, predicted [941])
attack: step 10/30, xent loss = 31.2176, l2 loss = 11.0286 (max 14.95), (true 931, predicted [941])
attack: step 11/30, xent loss = 31.1933, l2 loss = 11.7309 (max 14.95), (true 931, predicted [941])
attack: step 12/30, xent loss = 33.5374, l2 loss = 12.1494 (max 14.95), (true 931, predicted [941])
attack: step 13/30, xent loss = 33.9878, l2 loss = 13.157 (max 14.95), (true 931, predicted [941])
attack: step 14/30, xent loss = 37.8552, l2 loss = 13.6767 (max 14.95), (true 931, predicted [941])
attack: step 15/30, xent loss = 30.9937, l2 loss = 14.7972 (max 14.95), (true 931, predicted [941])
attack: step 16/30, xent loss = 43.9107, l2 loss = 15.0416 (max 14.95), (true 931, predicted [941])
attack: step 17/30, xent loss = 35.5864, l2 loss = 15.5347 (max 14.95), (true 931, predicted [941])
attack: step 18/30, xent loss = 47.3742, l2 loss = 15.8488 (max 14.95), (true 931, predicted [941])
attack: step 19/30, xent loss = 45.7543, l2 loss = 16.3055 (max 14.95), (true 931, predicted [941])
attack: step 20/30, xent loss = 35.6536, l2 loss = 16.7687 (max 14.95), (true 931, predicted [941])
attack: step 21/30, xent loss = 41.0753, l2 loss = 17.4546 (max 14.95), (true 931, predicted [941])
attack: step 22/30, xent loss = 43.5402, l2 loss = 17.7921 (max 14.95), (true 931, predicted [941])
attack: step 23/30, xent loss = 48.3874, l2 loss = 18.2158 (max 14.95), (true 931, predicted [941])
attack: step 24/30, xent loss = 46.7236, l2 loss = 18.6911 (max 14.95), (true 931, predicted [941])
attack: step 25/30, xent loss = 50.2151, l2 loss = 19.1223 (max 14.95), (true 931, predicted [941])
attack: step 26/30, xent loss = 45.3802, l2 loss = 19.7262 (max 14.95), (true 931, predicted [941])
attack: step 27/30, xent loss = 56.4634, l2 loss = 19.9747 (max 14.95), (true 931, predicted [941])
attack: step 28/30, xent loss = 48.6414, l2 loss = 20.3597 (max 14.95), (true 931, predicted [941])
attack: step 29/30, xent loss = 60.352, l2 loss = 20.636 (max 14.95), (true 931, predicted [941])
attack: step 30/30, xent loss = 61.5295, l2 loss = 20.9081 (max 14.95), (true 931, predicted [941])
check failed
true = 931, adv = 941
evaluating 906 of [900, 910)
attack: step 1/30, xent loss = 2.35237, l2 loss = 0 (max 14.95), (true 172, predicted [176])
attack: step 2/30, xent loss = 7.89269, l2 loss = 1.77904 (max 14.95), (true 172, predicted [176])
attack: step 3/30, xent loss = 12.5362, l2 loss = 2.30419 (max 14.95), (true 172, predicted [176])
attack: step 4/30, xent loss = 14.6227, l2 loss = 2.71001 (max 14.95), (true 172, predicted [176])
attack: step 5/30, xent loss = 17.4414, l2 loss = 3.21992 (max 14.95), (true 172, predicted [176])
attack: step 6/30, xent loss = 16.869, l2 loss = 3.90123 (max 14.95), (true 172, predicted [176])
attack: step 7/30, xent loss = 21.5258, l2 loss = 4.45765 (max 14.95), (true 172, predicted [176])
attack: step 8/30, xent loss = 21.393, l2 loss = 5.09747 (max 14.95), (true 172, predicted [176])
attack: step 9/30, xent loss = 23.5074, l2 loss = 5.63191 (max 14.95), (true 172, predicted [176])
attack: step 10/30, xent loss = 28.2784, l2 loss = 6.13465 (max 14.95), (true 172, predicted [176])
attack: step 11/30, xent loss = 26.4365, l2 loss = 6.69471 (max 14.95), (true 172, predicted [176])
attack: step 12/30, xent loss = 29.2089, l2 loss = 7.07696 (max 14.95), (true 172, predicted [176])
attack: step 13/30, xent loss = 20.2375, l2 loss = 8.31921 (max 14.95), (true 172, predicted [176])
attack: step 14/30, xent loss = 30.7293, l2 loss = 8.59228 (max 14.95), (true 172, predicted [176])
attack: step 15/30, xent loss = 34.6604, l2 loss = 8.80685 (max 14.95), (true 172, predicted [176])
attack: step 16/30, xent loss = 33.6194, l2 loss = 9.38434 (max 14.95), (true 172, predicted [176])
attack: step 17/30, xent loss = 38.3636, l2 loss = 9.9047 (max 14.95), (true 172, predicted [176])
attack: step 18/30, xent loss = 45.1268, l2 loss = 10.1353 (max 14.95), (true 172, predicted [176])
attack: step 19/30, xent loss = 42.2285, l2 loss = 10.6475 (max 14.95), (true 172, predicted [176])
attack: step 20/30, xent loss = 46.1302, l2 loss = 10.9352 (max 14.95), (true 172, predicted [176])
attack: step 21/30, xent loss = 41.5627, l2 loss = 11.3132 (max 14.95), (true 172, predicted [176])
attack: step 22/30, xent loss = 44.14, l2 loss = 11.699 (max 14.95), (true 172, predicted [176])
attack: step 23/30, xent loss = 44.2209, l2 loss = 12.0422 (max 14.95), (true 172, predicted [176])
attack: step 24/30, xent loss = 44.4376, l2 loss = 12.3672 (max 14.95), (true 172, predicted [176])
attack: step 25/30, xent loss = 36.4103, l2 loss = 13.1969 (max 14.95), (true 172, predicted [176])
attack: step 26/30, xent loss = 45.5595, l2 loss = 13.4156 (max 14.95), (true 172, predicted [176])
attack: step 27/30, xent loss = 33.1179, l2 loss = 14.0593 (max 14.95), (true 172, predicted [176])
attack: step 28/30, xent loss = 47.7033, l2 loss = 14.2088 (max 14.95), (true 172, predicted [176])
attack: step 29/30, xent loss = 48.5746, l2 loss = 14.3948 (max 14.95), (true 172, predicted [176])
attack: step 30/30, xent loss = 53.0221, l2 loss = 14.6581 (max 14.95), (true 172, predicted [176])
true = 172, adv = 176
evaluating 907 of [900, 910)
attack: step 1/30, xent loss = 0.248494, l2 loss = 0 (max 14.95), (true 374, predicted [374])
attack: step 2/30, xent loss = 4.92407, l2 loss = 0.540649 (max 14.95), (true 374, predicted [381])
attack: step 3/30, xent loss = 9.63449, l2 loss = 1.9273 (max 14.95), (true 374, predicted [381])
attack: step 4/30, xent loss = 13.3847, l2 loss = 2.55321 (max 14.95), (true 374, predicted [381])
attack: step 5/30, xent loss = 13.4698, l2 loss = 3.19272 (max 14.95), (true 374, predicted [381])
attack: step 6/30, xent loss = 14.6099, l2 loss = 4.13673 (max 14.95), (true 374, predicted [381])
attack: step 7/30, xent loss = 14.469, l2 loss = 5.1969 (max 14.95), (true 374, predicted [381])
attack: step 8/30, xent loss = 17.6542, l2 loss = 5.80508 (max 14.95), (true 374, predicted [381])
attack: step 9/30, xent loss = 16.1229, l2 loss = 6.47126 (max 14.95), (true 374, predicted [381])
attack: step 10/30, xent loss = 19.3432, l2 loss = 7.09908 (max 14.95), (true 374, predicted [381])
attack: step 11/30, xent loss = 16.0156, l2 loss = 7.69738 (max 14.95), (true 374, predicted [381])
attack: step 12/30, xent loss = 21.4911, l2 loss = 8.07785 (max 14.95), (true 374, predicted [381])
attack: step 13/30, xent loss = 13.7513, l2 loss = 8.99052 (max 14.95), (true 374, predicted [381])
attack: step 14/30, xent loss = 24.1804, l2 loss = 9.38795 (max 14.95), (true 374, predicted [381])
attack: step 15/30, xent loss = 25.1503, l2 loss = 9.74369 (max 14.95), (true 374, predicted [381])
attack: step 16/30, xent loss = 18.5337, l2 loss = 10.6 (max 14.95), (true 374, predicted [381])
attack: step 17/30, xent loss = 19.741, l2 loss = 10.8776 (max 14.95), (true 374, predicted [381])
attack: step 18/30, xent loss = 20.7302, l2 loss = 11.4714 (max 14.95), (true 374, predicted [381])
attack: step 19/30, xent loss = 28.8154, l2 loss = 11.9111 (max 14.95), (true 374, predicted [381])
attack: step 20/30, xent loss = 25.0417, l2 loss = 12.354 (max 14.95), (true 374, predicted [381])
attack: step 21/30, xent loss = 23.3102, l2 loss = 13.0295 (max 14.95), (true 374, predicted [381])
attack: step 22/30, xent loss = 32.3677, l2 loss = 13.242 (max 14.95), (true 374, predicted [381])
attack: step 23/30, xent loss = 21.0049, l2 loss = 13.7217 (max 14.95), (true 374, predicted [381])
attack: step 24/30, xent loss = 36.878, l2 loss = 13.9605 (max 14.95), (true 374, predicted [381])
attack: step 25/30, xent loss = 21.5718, l2 loss = 14.4539 (max 14.95), (true 374, predicted [381])
attack: step 26/30, xent loss = 20.1476, l2 loss = 15.1564 (max 14.95), (true 374, predicted [381])
attack: step 27/30, xent loss = 30.2317, l2 loss = 15.5278 (max 14.95), (true 374, predicted [381])
attack: step 28/30, xent loss = 27.798, l2 loss = 16.0732 (max 14.95), (true 374, predicted [381])
attack: step 29/30, xent loss = 35.225, l2 loss = 16.3633 (max 14.95), (true 374, predicted [381])
attack: step 30/30, xent loss = 26.2571, l2 loss = 16.7972 (max 14.95), (true 374, predicted [381])
check failed
true = 374, adv = 552
evaluating 908 of [900, 910)
attack: step 1/30, xent loss = 0.0386439, l2 loss = 0 (max 14.95), (true 351, predicted [351])
attack: step 2/30, xent loss = 0.0496061, l2 loss = 0.0324688 (max 14.95), (true 351, predicted [351])
attack: step 3/30, xent loss = 0.0643165, l2 loss = 0.0685268 (max 14.95), (true 351, predicted [351])
attack: step 4/30, xent loss = 0.0841329, l2 loss = 0.109571 (max 14.95), (true 351, predicted [351])
attack: step 5/30, xent loss = 0.111897, l2 loss = 0.156439 (max 14.95), (true 351, predicted [351])
attack: step 6/30, xent loss = 0.15088, l2 loss = 0.210706 (max 14.95), (true 351, predicted [351])
attack: step 7/30, xent loss = 0.213453, l2 loss = 0.277759 (max 14.95), (true 351, predicted [351])
attack: step 8/30, xent loss = 0.312645, l2 loss = 0.363209 (max 14.95), (true 351, predicted [351])
attack: step 9/30, xent loss = 0.453744, l2 loss = 0.468139 (max 14.95), (true 351, predicted [351])
attack: step 10/30, xent loss = 0.642168, l2 loss = 0.591335 (max 14.95), (true 351, predicted [351])
attack: step 11/30, xent loss = 0.913483, l2 loss = 0.733668 (max 14.95), (true 351, predicted [351])
attack: step 12/30, xent loss = 1.19971, l2 loss = 0.913792 (max 14.95), (true 351, predicted [351])
attack: step 13/30, xent loss = 1.48009, l2 loss = 1.12308 (max 14.95), (true 351, predicted [351])
attack: step 14/30, xent loss = 2.07772, l2 loss = 1.36472 (max 14.95), (true 351, predicted [351])
