2019-05-29 17:52:27.571419: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2019-05-29 17:52:27.582122: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 2600005000 Hz
2019-05-29 17:52:27.582392: I tensorflow/compiler/xla/service/service.cc:150] XLA service 0x2aaae6bc12b0 executing computations on platform Host. Devices:
2019-05-29 17:52:27.582426: I tensorflow/compiler/xla/service/service.cc:158]   StreamExecutor device (0): <undefined>, <undefined>
2019-05-29 17:52:27.582778: I tensorflow/core/common_runtime/process_util.cc:71] Creating new thread pool with default inter op setting: 2. Tune using inter_op_parallelism_threads for best performance.
evaluating 540 of [540, 550)
attack: step 1/30, xent loss = 0.0230272, l2 loss = 0 (max 14.95), (true 702, predicted [702])
attack: step 16/30, xent loss = 1.69215, l2 loss = 1.46455 (max 14.95), (true 91, predicted [91])
attack: step 17/30, xent loss = 1.67078, l2 loss = 1.65001 (max 14.95), (true 91, predicted [91])
attack: step 18/30, xent loss = 2.46454, l2 loss = 1.8271 (max 14.95), (true 91, predicted [91])
attack: step 19/30, xent loss = 3.00762, l2 loss = 1.95959 (max 14.95), (true 91, predicted [91])
attack: step 20/30, xent loss = 3.522, l2 loss = 2.18605 (max 14.95), (true 91, predicted [91])
attack: step 21/30, xent loss = 4.40348, l2 loss = 2.44294 (max 14.95), (true 91, predicted [136])
attack: step 22/30, xent loss = 6.14678, l2 loss = 2.81196 (max 14.95), (true 91, predicted [136])
attack: step 23/30, xent loss = 7.9229, l2 loss = 3.05022 (max 14.95), (true 91, predicted [136])
attack: step 24/30, xent loss = 9.09545, l2 loss = 3.24549 (max 14.95), (true 91, predicted [136])
attack: step 25/30, xent loss = 9.67299, l2 loss = 3.36587 (max 14.95), (true 91, predicted [136])
attack: step 26/30, xent loss = 10.3818, l2 loss = 3.45393 (max 14.95), (true 91, predicted [136])
attack: step 27/30, xent loss = 11.4273, l2 loss = 3.58034 (max 14.95), (true 91, predicted [136])
attack: step 28/30, xent loss = 11.8662, l2 loss = 3.78317 (max 14.95), (true 91, predicted [868])
attack: step 29/30, xent loss = 12.4814, l2 loss = 3.98968 (max 14.95), (true 91, predicted [868])
attack: step 30/30, xent loss = 10.8452, l2 loss = 4.14959 (max 14.95), (true 91, predicted [136])
true = 91, adv = 91
evaluating 542 of [540, 550)
attack: step 1/30, xent loss = 3.47505, l2 loss = 0 (max 14.95), (true 911, predicted [658])
attack: step 2/30, xent loss = 11.3313, l2 loss = 1.54939 (max 14.95), (true 911, predicted [658])
attack: step 3/30, xent loss = 17.3074, l2 loss = 2.19984 (max 14.95), (true 911, predicted [658])
attack: step 4/30, xent loss = 20.6201, l2 loss = 2.85191 (max 14.95), (true 911, predicted [658])
attack: step 5/30, xent loss = 23.5485, l2 loss = 3.54749 (max 14.95), (true 911, predicted [658])
attack: step 6/30, xent loss = 24.0598, l2 loss = 4.27289 (max 14.95), (true 911, predicted [658])
attack: step 7/30, xent loss = 27.2602, l2 loss = 5.08135 (max 14.95), (true 911, predicted [658])
attack: step 8/30, xent loss = 32.1721, l2 loss = 5.61001 (max 14.95), (true 911, predicted [658])
attack: step 9/30, xent loss = 32.4343, l2 loss = 6.22834 (max 14.95), (true 911, predicted [658])
attack: step 10/30, xent loss = 25.0059, l2 loss = 7.22005 (max 14.95), (true 911, predicted [658])
attack: step 11/30, xent loss = 38.4608, l2 loss = 7.47224 (max 14.95), (true 911, predicted [658])
attack: step 12/30, xent loss = 42.0008, l2 loss = 7.88629 (max 14.95), (true 911, predicted [658])
attack: step 13/30, xent loss = 35.4678, l2 loss = 8.84168 (max 14.95), (true 911, predicted [658])
attack: step 14/30, xent loss = 30.3679, l2 loss = 9.76081 (max 14.95), (true 911, predicted [658])
attack: step 15/30, xent loss = 42.2704, l2 loss = 10.0698 (max 14.95), (true 911, predicted [658])
attack: step 16/30, xent loss = 41.6608, l2 loss = 10.4492 (max 14.95), (true 911, predicted [658])
attack: step 17/30, xent loss = 47.8715, l2 loss = 10.9887 (max 14.95), (true 911, predicted [658])
attack: step 18/30, xent loss = 48.5259, l2 loss = 11.335 (max 14.95), (true 911, predicted [658])
attack: step 19/30, xent loss = 47.8811, l2 loss = 11.8135 (max 14.95), (true 911, predicted [658])
attack: step 20/30, xent loss = 50.2828, l2 loss = 12.2627 (max 14.95), (true 911, predicted [658])
attack: step 21/30, xent loss = 56.9508, l2 loss = 12.6401 (max 14.95), (true 911, predicted [658])
attack: step 22/30, xent loss = 60.6723, l2 loss = 12.9024 (max 14.95), (true 911, predicted [658])
attack: step 23/30, xent loss = 65.7999, l2 loss = 13.2181 (max 14.95), (true 911, predicted [658])
attack: step 24/30, xent loss = 62.462, l2 loss = 13.5264 (max 14.95), (true 911, predicted [658])
attack: step 25/30, xent loss = 48.1558, l2 loss = 14.0604 (max 14.95), (true 911, predicted [658])
attack: step 26/30, xent loss = 55.6287, l2 loss = 14.579 (max 14.95), (true 911, predicted [658])
attack: step 27/30, xent loss = 63.3996, l2 loss = 14.8372 (max 14.95), (true 911, predicted [658])
attack: step 28/30, xent loss = 60.1516, l2 loss = 15.2931 (max 14.95), (true 911, predicted [658])
attack: step 29/30, xent loss = 65.4477, l2 loss = 15.6669 (max 14.95), (true 911, predicted [658])
attack: step 30/30, xent loss = 61.2596, l2 loss = 16.1393 (max 14.95), (true 911, predicted [658])
check failed
true = 911, adv = 894
evaluating 543 of [540, 550)
attack: step 1/30, xent loss = 0.119421, l2 loss = 0 (max 14.95), (true 118, predicted [118])
attack: step 2/30, xent loss = 0.239551, l2 loss = 0.0979951 (max 14.95), (true 118, predicted [118])
attack: step 3/30, xent loss = 0.792096, l2 loss = 0.265656 (max 14.95), (true 118, predicted [118])
attack: step 4/30, xent loss = 6.5774, l2 loss = 0.909019 (max 14.95), (true 118, predicted [120])
attack: step 5/30, xent loss = 11.3449, l2 loss = 2.10823 (max 14.95), (true 118, predicted [120])
attack: step 6/30, xent loss = 13.4725, l2 loss = 2.61441 (max 14.95), (true 118, predicted [120])
attack: step 7/30, xent loss = 14.9232, l2 loss = 3.226 (max 14.95), (true 118, predicted [120])
attack: step 8/30, xent loss = 18.0464, l2 loss = 3.79027 (max 14.95), (true 118, predicted [120])
attack: step 9/30, xent loss = 22.4395, l2 loss = 4.17673 (max 14.95), (true 118, predicted [120])
attack: step 10/30, xent loss = 22.088, l2 loss = 4.86398 (max 14.95), (true 118, predicted [120])
attack: step 11/30, xent loss = 23.2142, l2 loss = 5.66632 (max 14.95), (true 118, predicted [120])
attack: step 12/30, xent loss = 19.3429, l2 loss = 6.44327 (max 14.95), (true 118, predicted [120])
attack: step 13/30, xent loss = 16.6501, l2 loss = 8.05941 (max 14.95), (true 118, predicted [120])
attack: step 14/30, xent loss = 26.4647, l2 loss = 8.31726 (max 14.95), (true 118, predicted [120])
attack: step 15/30, xent loss = 26.5589, l2 loss = 8.87029 (max 14.95), (true 118, predicted [120])
attack: step 16/30, xent loss = 27.4432, l2 loss = 9.40212 (max 14.95), (true 118, predicted [120])
attack: step 17/30, xent loss = 29.8412, l2 loss = 9.90979 (max 14.95), (true 118, predicted [120])
attack: step 18/30, xent loss = 20.4257, l2 loss = 10.8457 (max 14.95), (true 118, predicted [120])
attack: step 19/30, xent loss = 33.7212, l2 loss = 11.129 (max 14.95), (true 118, predicted [120])
attack: step 20/30, xent loss = 35.805, l2 loss = 11.6184 (max 14.95), (true 118, predicted [120])
attack: step 21/30, xent loss = 26.5962, l2 loss = 12.169 (max 14.95), (true 118, predicted [120])
attack: step 22/30, xent loss = 28.3451, l2 loss = 12.7932 (max 14.95), (true 118, predicted [120])
attack: step 23/30, xent loss = 32.2554, l2 loss = 13.3918 (max 14.95), (true 118, predicted [120])
attack: step 24/30, xent loss = 39.4868, l2 loss = 13.6673 (max 14.95), (true 118, predicted [120])
attack: step 25/30, xent loss = 30.1764, l2 loss = 14.338 (max 14.95), (true 118, predicted [120])
attack: step 26/30, xent loss = 35.2569, l2 loss = 14.7866 (max 14.95), (true 118, predicted [120])
attack: step 27/30, xent loss = 26.3673, l2 loss = 15.5858 (max 14.95), (true 118, predicted [120])
attack: step 28/30, xent loss = 43.2586, l2 loss = 15.8126 (max 14.95), (true 118, predicted [120])
attack: step 29/30, xent loss = 43.7128, l2 loss = 16.0424 (max 14.95), (true 118, predicted [120])
attack: step 30/30, xent loss = 34.188, l2 loss = 16.6073 (max 14.95), (true 118, predicted [120])
check failed
true = 118, adv = 728
evaluating 544 of [540, 550)
attack: step 1/30, xent loss = 0.0684674, l2 loss = 0 (max 14.95), (true 846, predicted [846])
attack: step 2/30, xent loss = 0.205206, l2 loss = 0.0945076 (max 14.95), (true 846, predicted [846])
attack: step 3/30, xent loss = 0.909932, l2 loss = 0.333083 (max 14.95), (true 846, predicted [619])
attack: step 4/30, xent loss = 1.90629, l2 loss = 1.10857 (max 14.95), (true 846, predicted [619])
attack: step 5/30, xent loss = 1.74122, l2 loss = 2.18823 (max 14.95), (true 846, predicted [619])
attack: step 6/30, xent loss = 1.70889, l2 loss = 2.96479 (max 14.95), (true 846, predicted [619])
attack: step 7/30, xent loss = 5.15929, l2 loss = 3.42254 (max 14.95), (true 846, predicted [619])
attack: step 8/30, xent loss = 7.20083, l2 loss = 3.82629 (max 14.95), (true 846, predicted [883])
attack: step 9/30, xent loss = 10.3282, l2 loss = 4.31357 (max 14.95), (true 846, predicted [677])
attack: step 10/30, xent loss = 12.7714, l2 loss = 5.526 (max 14.95), (true 846, predicted [677])
attack: step 11/30, xent loss = 13.3841, l2 loss = 5.94628 (max 14.95), (true 846, predicted [677])
attack: step 12/30, xent loss = 11.7185, l2 loss = 8.15342 (max 14.95), (true 846, predicted [677])
attack: step 13/30, xent loss = 17.4062, l2 loss = 8.3435 (max 14.95), (true 846, predicted [677])
attack: step 14/30, xent loss = 10.9847, l2 loss = 8.7023 (max 14.95), (true 846, predicted [677])
attack: step 15/30, xent loss = 14.4453, l2 loss = 9.79998 (max 14.95), (true 846, predicted [677])
attack: step 16/30, xent loss = 20.1773, l2 loss = 9.94008 (max 14.95), (true 846, predicted [677])
attack: step 17/30, xent loss = 13.7704, l2 loss = 11.1137 (max 14.95), (true 846, predicted [677])
attack: step 18/30, xent loss = 19.7243, l2 loss = 11.186 (max 14.95), (true 846, predicted [677])
attack: step 19/30, xent loss = 19.3545, l2 loss = 11.4416 (max 14.95), (true 846, predicted [677])
attack: step 20/30, xent loss = 21.6065, l2 loss = 11.7753 (max 14.95), (true 846, predicted [677])
attack: step 21/30, xent loss = 23.0199, l2 loss = 12.0651 (max 14.95), (true 846, predicted [677])
attack: step 22/30, xent loss = 20.1789, l2 loss = 12.6059 (max 14.95), (true 846, predicted [677])
attack: step 23/30, xent loss = 26.8806, l2 loss = 12.8059 (max 14.95), (true 846, predicted [677])
attack: step 24/30, xent loss = 27.4281, l2 loss = 13.1488 (max 14.95), (true 846, predicted [677])
attack: step 25/30, xent loss = 25.0674, l2 loss = 13.476 (max 14.95), (true 846, predicted [677])
attack: step 26/30, xent loss = 27.3058, l2 loss = 13.8666 (max 14.95), (true 846, predicted [677])
attack: step 27/30, xent loss = 27.2175, l2 loss = 14.116 (max 14.95), (true 846, predicted [677])
attack: step 28/30, xent loss = 21.6199, l2 loss = 14.7767 (max 14.95), (true 846, predicted [677])
attack: step 29/30, xent loss = 29.9743, l2 loss = 14.9543 (max 14.95), (true 846, predicted [677])
attack: step 30/30, xent loss = 31.5563, l2 loss = 15.1847 (max 14.95), (true 846, predicted [677])
check failed
true = 846, adv = 846
evaluating 545 of [540, 550)
attack: step 1/30, xent loss = 4.71572, l2 loss = 0 (max 14.95), (true 266, predicted [184])
attack: step 2/30, xent loss = 10.3045, l2 loss = 4.72556 (max 14.95), (true 266, predicted [170])
attack: step 3/30, xent loss = 16.437, l2 loss = 5.03607 (max 14.95), (true 266, predicted [170])
attack: step 4/30, xent loss = 21.4607, l2 loss = 5.58806 (max 14.95), (true 266, predicted [170])
attack: step 5/30, xent loss = 19.6769, l2 loss = 6.61406 (max 14.95), (true 266, predicted [170])
attack: step 6/30, xent loss = 18.4674, l2 loss = 8.83225 (max 14.95), (true 266, predicted [170])
attack: step 7/30, xent loss = 23.5104, l2 loss = 9.22898 (max 14.95), (true 266, predicted [170])
attack: step 8/30, xent loss = 29.8154, l2 loss = 9.67447 (max 14.95), (true 266, predicted [170])
attack: step 9/30, xent loss = 30.8003, l2 loss = 10.262 (max 14.95), (true 266, predicted [170])
attack: step 10/30, xent loss = 31.9885, l2 loss = 10.9006 (max 14.95), (true 266, predicted [170])
attack: step 11/30, xent loss = 31.3905, l2 loss = 11.4192 (max 14.95), (true 266, predicted [170])
attack: step 12/30, xent loss = 37.8423, l2 loss = 11.9052 (max 14.95), (true 266, predicted [170])
attack: step 13/30, xent loss = 40.8616, l2 loss = 12.6438 (max 14.95), (true 266, predicted [170])
attack: step 14/30, xent loss = 37.9998, l2 loss = 13.264 (max 14.95), (true 266, predicted [170])
attack: step 15/30, xent loss = 26.1553, l2 loss = 15.0929 (max 14.95), (true 266, predicted [170])
attack: step 16/30, xent loss = 36.0107, l2 loss = 15.3336 (max 14.95), (true 266, predicted [170])
attack: step 17/30, xent loss = 30.4739, l2 loss = 15.8668 (max 14.95), (true 266, predicted [170])
attack: step 18/30, xent loss = 43.455, l2 loss = 16.1757 (max 14.95), (true 266, predicted [170])
attack: step 19/30, xent loss = 49.5051, l2 loss = 16.407 (max 14.95), (true 266, predicted [170])
attack: step 20/30, xent loss = 38.2587, l2 loss = 16.8358 (max 14.95), (true 266, predicted [170])
attack: step 21/30, xent loss = 37.2282, l2 loss = 18.0457 (max 14.95), (true 266, predicted [170])
attack: step 22/30, xent loss = 46.8932, l2 loss = 18.2422 (max 14.95), (true 266, predicted [170])
attack: step 23/30, xent loss = 50.5081, l2 loss = 18.5071 (max 14.95), (true 266, predicted [170])
attack: step 24/30, xent loss = 46.7907, l2 loss = 18.9113 (max 14.95), (true 266, predicted [170])
attack: step 25/30, xent loss = 52.0355, l2 loss = 19.3145 (max 14.95), (true 266, predicted [170])
attack: step 26/30, xent loss = 51.3087, l2 loss = 19.7159 (max 14.95), (true 266, predicted [170])
attack: step 27/30, xent loss = 43.5183, l2 loss = 20.3329 (max 14.95), (true 266, predicted [170])
attack: step 28/30, xent loss = 55.8067, l2 loss = 20.5635 (max 14.95), (true 266, predicted [170])
attack: step 29/30, xent loss = 43.1936, l2 loss = 21.2042 (max 14.95), (true 266, predicted [170])
attack: step 30/30, xent loss = 61.9883, l2 loss = 21.5419 (max 14.95), (true 266, predicted [170])
check failed
true = 266, adv = 728
evaluating 546 of [540, 550)
attack: step 1/30, xent loss = 0.0814618, l2 loss = 0 (max 14.95), (true 315, predicted [315])
attack: step 2/30, xent loss = 0.154307, l2 loss = 0.0840104 (max 14.95), (true 315, predicted [315])
attack: step 3/30, xent loss = 0.334454, l2 loss = 0.197473 (max 14.95), (true 315, predicted [315])
attack: step 4/30, xent loss = 0.744373, l2 loss = 0.387332 (max 14.95), (true 315, predicted [315])
attack: step 5/30, xent loss = 2.1381, l2 loss = 0.766289 (max 14.95), (true 315, predicted [311])
attack: step 6/30, xent loss = 7.90364, l2 loss = 2.44543 (max 14.95), (true 315, predicted [311])
attack: step 7/30, xent loss = 12.3197, l2 loss = 3.08108 (max 14.95), (true 315, predicted [311])
attack: step 8/30, xent loss = 14.226, l2 loss = 3.81146 (max 14.95), (true 315, predicted [311])
attack: step 9/30, xent loss = 14.7613, l2 loss = 5.00695 (max 14.95), (true 315, predicted [311])
attack: step 10/30, xent loss = 14.9359, l2 loss = 6.17513 (max 14.95), (true 315, predicted [311])
attack: step 11/30, xent loss = 12.7523, l2 loss = 7.09829 (max 14.95), (true 315, predicted [311])
attack: step 12/30, xent loss = 11.0287, l2 loss = 8.82803 (max 14.95), (true 315, predicted [311])
attack: step 13/30, xent loss = 17.9352, l2 loss = 9.08101 (max 14.95), (true 315, predicted [311])
attack: step 14/30, xent loss = 15.3031, l2 loss = 9.44205 (max 14.95), (true 315, predicted [311])
attack: step 15/30, xent loss = 16.361, l2 loss = 9.643 (max 14.95), (true 315, predicted [311])
attack: step 16/30, xent loss = 13.4251, l2 loss = 11.1726 (max 14.95), (true 315, predicted [311])
attack: step 17/30, xent loss = 20.8218, l2 loss = 11.2946 (max 14.95), (true 315, predicted [311])
attack: step 18/30, xent loss = 18.8503, l2 loss = 11.6743 (max 14.95), (true 315, predicted [311])
attack: step 19/30, xent loss = 16.0778, l2 loss = 12.208 (max 14.95), (true 315, predicted [311])
attack: step 20/30, xent loss = 19.2112, l2 loss = 12.6333 (max 14.95), (true 315, predicted [311])
attack: step 21/30, xent loss = 17.7445, l2 loss = 13.0886 (max 14.95), (true 315, predicted [311])
attack: step 22/30, xent loss = 19.1219, l2 loss = 13.4785 (max 14.95), (true 315, predicted [311])
attack: step 23/30, xent loss = 29.0864, l2 loss = 13.5991 (max 14.95), (true 315, predicted [311])
attack: step 24/30, xent loss = 24.2399, l2 loss = 13.8526 (max 14.95), (true 315, predicted [311])
attack: step 25/30, xent loss = 26.941, l2 loss = 14.1822 (max 14.95), (true 315, predicted [311])
attack: step 26/30, xent loss = 22.8099, l2 loss = 14.5278 (max 14.95), (true 315, predicted [311])
attack: step 27/30, xent loss = 20.3362, l2 loss = 15.3304 (max 14.95), (true 315, predicted [311])
attack: step 28/30, xent loss = 26.8942, l2 loss = 15.6013 (max 14.95), (true 315, predicted [311])
attack: step 29/30, xent loss = 28.2425, l2 loss = 15.8142 (max 14.95), (true 315, predicted [311])
attack: step 30/30, xent loss = 33.6073, l2 loss = 16.1196 (max 14.95), (true 315, predicted [311])
check failed
true = 315, adv = 728
evaluating 547 of [540, 550)
attack: step 1/30, xent loss = 0.0266124, l2 loss = 0 (max 14.95), (true 946, predicted [946])
attack: step 2/30, xent loss = 0.0503234, l2 loss = 0.0422805 (max 14.95), (true 946, predicted [946])
attack: step 3/30, xent loss = 0.146259, l2 loss = 0.116203 (max 14.95), (true 946, predicted [946])
attack: step 4/30, xent loss = 1.23138, l2 loss = 0.314131 (max 14.95), (true 946, predicted [309])
attack: step 5/30, xent loss = 6.8677, l2 loss = 1.38798 (max 14.95), (true 946, predicted [309])
attack: step 6/30, xent loss = 7.9678, l2 loss = 2.2356 (max 14.95), (true 946, predicted [309])
attack: step 7/30, xent loss = 9.88028, l2 loss = 3.95961 (max 14.95), (true 946, predicted [309])
attack: step 8/30, xent loss = 13.2253, l2 loss = 4.54425 (max 14.95), (true 946, predicted [309])
attack: step 9/30, xent loss = 8.51609, l2 loss = 5.69507 (max 14.95), (true 946, predicted [309])
attack: step 10/30, xent loss = 11.17, l2 loss = 5.91859 (max 14.95), (true 946, predicted [115])
attack: step 11/30, xent loss = 14.1833, l2 loss = 6.13884 (max 14.95), (true 946, predicted [115])
attack: step 12/30, xent loss = 13.1063, l2 loss = 7.14156 (max 14.95), (true 946, predicted [115])
attack: step 13/30, xent loss = 16.0447, l2 loss = 8.25715 (max 14.95), (true 946, predicted [115])
attack: step 14/30, xent loss = 20.0416, l2 loss = 9.58676 (max 14.95), (true 946, predicted [115])
attack: step 15/30, xent loss = 16.1499, l2 loss = 10.466 (max 14.95), (true 946, predicted [115])
attack: step 16/30, xent loss = 24.3837, l2 loss = 11.3136 (max 14.95), (true 946, predicted [115])
attack: step 17/30, xent loss = 17.5966, l2 loss = 11.9737 (max 14.95), (true 946, predicted [115])
attack: step 18/30, xent loss = 23.7385, l2 loss = 12.9951 (max 14.95), (true 946, predicted [115])
attack: step 19/30, xent loss = 30.3071, l2 loss = 13.4628 (max 14.95), (true 946, predicted [115])
attack: step 20/30, xent loss = 36.4107, l2 loss = 13.8787 (max 14.95), (true 946, predicted [115])
attack: step 21/30, xent loss = 31.8018, l2 loss = 14.2049 (max 14.95), (true 946, predicted [115])
attack: step 22/30, xent loss = 40.5809, l2 loss = 14.7955 (max 14.95), (true 946, predicted [115])
attack: step 23/30, xent loss = 41.8907, l2 loss = 15.0955 (max 14.95), (true 946, predicted [115])
attack: step 24/30, xent loss = 39.4985, l2 loss = 15.6422 (max 14.95), (true 946, predicted [115])
attack: step 25/30, xent loss = 34.2405, l2 loss = 16.1891 (max 14.95), (true 946, predicted [115])
attack: step 26/30, xent loss = 47.4175, l2 loss = 16.4933 (max 14.95), (true 946, predicted [115])
attack: step 27/30, xent loss = 37.8988, l2 loss = 17.0197 (max 14.95), (true 946, predicted [115])
attack: step 28/30, xent loss = 46.8424, l2 loss = 17.287 (max 14.95), (true 946, predicted [115])
attack: step 29/30, xent loss = 52.5468, l2 loss = 17.5507 (max 14.95), (true 946, predicted [115])
attack: step 30/30, xent loss = 51.2607, l2 loss = 17.8896 (max 14.95), (true 946, predicted [115])
check failed
true = 946, adv = 723
evaluating 548 of [540, 550)
attack: step 1/30, xent loss = 7.84269, l2 loss = 0 (max 14.95), (true 689, predicted [411])
attack: step 2/30, xent loss = 12.1971, l2 loss = 2.20305 (max 14.95), (true 689, predicted [411])
attack: step 3/30, xent loss = 18.9335, l2 loss = 2.60021 (max 14.95), (true 689, predicted [411])
attack: step 4/30, xent loss = 20.4766, l2 loss = 3.02551 (max 14.95), (true 689, predicted [411])
attack: step 5/30, xent loss = 23.0347, l2 loss = 3.46024 (max 14.95), (true 689, predicted [411])
attack: step 6/30, xent loss = 26.2158, l2 loss = 3.86202 (max 14.95), (true 689, predicted [411])
attack: step 7/30, xent loss = 22.5944, l2 loss = 4.27668 (max 14.95), (true 689, predicted [411])
attack: step 8/30, xent loss = 27.8415, l2 loss = 4.67348 (max 14.95), (true 689, predicted [411])
attack: step 9/30, xent loss = 30.9948, l2 loss = 5.02891 (max 14.95), (true 689, predicted [411])
attack: step 10/30, xent loss = 28.6096, l2 loss = 5.3826 (max 14.95), (true 689, predicted [411])
attack: step 11/30, xent loss = 30.9217, l2 loss = 5.81097 (max 14.95), (true 689, predicted [411])
attack: step 12/30, xent loss = 33.2486, l2 loss = 6.10343 (max 14.95), (true 689, predicted [411])
attack: step 13/30, xent loss = 37.0425, l2 loss = 6.3699 (max 14.95), (true 689, predicted [411])
attack: step 14/30, xent loss = 31.393, l2 loss = 6.6863 (max 14.95), (true 689, predicted [411])
